index,a,b,c,d,e
6096,thump,thumps,thumped,thumped,thumping
6097,thunder,thunders,thundered,thundered,thundering
6098,thwack,thwacks,thwacked,thwacked,thwacking
6099,thwart,thwarts,thwarted,thwarted,thwarting
6100,tick,ticks,ticked,ticked,ticking
6101,ticket,tickets,ticketed,ticketed,ticketing
6102,tickle,tickles,tickled,tickled,tickling
6103,tide,tides,tided,tided,tiding
6104,tidy,tidies,tidied,tidied,tidying
6105,tie,ties,tied,tied,tying
6106,tie-dye,tie-dyes,tie-dyed,tie-dyed,tie-dyeing
6107,tiedye,tiedyes,tiedyed,tiedyed,tiedyeing
6108,tighten,tightens,tightened,tightened,tightening
6109,tile,tiles,tiled,tiled,tiling
6110,till,tills,tilled,tilled,tilling
6111,tilt,tilts,tilted,tilted,tilting
6112,time,times,timed,timed,timing
6113,times,timeses,timesed,timesed,timesing
6114,timetable,timetables,timetabled,timetabled,timetabling
6115,tinge,tinges,tinged,tinged,tingeing
6116,tingle,tingles,tingled,tingled,tingling
6117,tinker,tinkers,tinkered,tinkered,tinkering
6118,tinkle,tinkles,tinkled,tinkled,tinkling
6119,tint,tints,tinted,tinted,tinting
6120,tip,tips,tipped,tipped,tipping
6121,tippex,tippexes,tippexed,tippexed,tippexing
6122,tipple,tipples,tippled,tippled,tippling
6123,tiptoe,tiptoes,tiptoed,tiptoed,tiptoeing
6124,tire,tires,tired,tired,tiring
6125,titillate,titillates,titillated,titillated,titillating
6126,titivate,titivates,titivated,titivated,titivating
6127,title,titles,titled,titled,titling
6128,titrate,titrates,titrated,titrated,titrating
6129,titter,titters,tittered,tittered,tittering
6130,toady,toadies,toadied,toadied,toadying
6131,toast,toasts,toasted,toasted,toasting
6132,toboggan,toboggans,tobogganed,tobogganed,tobogganing
6133,toddle,toddles,toddled,toddled,toddling
6134,toe,toes,toed,toed,toeing
6135,tog,togs,togged,togged,togging
6136,toggle,toggles,toggled,toggled,toggling
6137,toil,toils,toiled,toiled,toiling
6138,toilet-train,toilet-trains,toilet-trained,toilet-trained,toilet-training
6139,toilettrain,toilettrains,toilettrained,toilettrained,toilettraining
6140,toke,tokes,toked,toked,toking
6141,tolerate,tolerates,tolerated,tolerated,tolerating
6142,toll,tolls,tolled,tolled,tolling
6143,tom-tom,tom-toms,tom-tommed,tom-tommed,tom-tomming
6144,tomtom,tomtoms,tomtommed,tomtommed,tomtomming
6145,tone,tones,toned,toned,toning
6146,tongue,tongues,tongued,tongued,tonguing
6147,tonify,tonifies,tonified,tonified,tonifying
6148,tool,tools,tooled,tooled,tooling
6149,toot,toots,tooted,tooted,tooting
6150,tootle,tootles,tootled,tootled,tootling
6151,top,tops,topped,topped,topping
6152,topple,topples,toppled,toppled,toppling
6153,torch,torches,torched,torched,torching
6154,torment,torments,tormented,tormented,tormenting
6155,torpedo,torpedoes,torpedoed,torpedoed,torpedoing
6156,torture,tortures,tortured,tortured,torturing
6157,toss,tosses,tossed,tossed,tossing
6158,tot,tots,totted,totted,totting
6159,total,totals,totalled,totalled,totalling
6160,tote,totes,toted,toted,toting
6161,totter,totters,tottered,tottered,tottering
6162,touch,touches,touched,touched,touching
6163,touch-type,touch-types,touch-typed,touch-typed,touch-typing
6164,touchtype,touchtypes,touchtyped,touchtyped,touchtyping
6165,tough,toughs,toughed,toughed,toughing
6166,toughen,toughens,toughened,toughened,toughening
6167,tour,tours,toured,toured,touring
6168,tousle,tousles,tousled,tousled,tousling
6169,tout,touts,touted,touted,touting
6170,tow,tows,towed,towed,towing
6171,towel,towels,towelled,towelled,towelling
6172,tower,towers,towered,towered,towering
6173,toy,toys,toyed,toyed,toying
6174,trace,traces,traced,traced,tracing
6175,track,tracks,tracked,tracked,tracking
6176,trade,trades,traded,traded,trading
6177,trademark,trademarks,trademarked,trademarked,trademarking
6178,traduce,traduces,traduced,traduced,traducing
6179,traffic,traffics,trafficked,trafficked,trafficking
6180,trail,trails,trailed,trailed,trailing
6181,train,trains,trained,trained,training
6182,traipse,traipses,traipsed,traipsed,traipsing
6183,trammel,trammels,trammelled,trammelled,trammelling
6184,tramp,tramps,tramped,tramped,tramping
6185,trample,tramples,trampled,trampled,trampling
6186,trampoline,trampolines,trampolined,trampolined,trampolining
6187,tranquillise,tranquillises,tranquillised,tranquillised,tranquillising
6188,tranquillize,tranquillizes,tranquillized,tranquillized,tranquillizing
6189,transact,transacts,transacted,transacted,transacting
6190,transcend,transcends,transcended,transcended,transcending
6191,transcribe,transcribes,transcribed,transcribed,transcribing
6192,transfer,transfers,transferred,transferred,transferring
6193,transfigure,transfigures,transfigured,transfigured,transfiguring
6194,transfix,transfixes,transfixed,transfixed,transfixing
6195,transform,transforms,transformed,transformed,transforming
6196,transfuse,transfuses,transfused,transfused,transfusing
6197,transgress,transgresses,transgressed,transgressed,transgressing
6198,transit,transits,transited,transited,transiting
6199,transition,transitions,transitioned,transitioned,transitioning
6200,translate,translates,translated,translated,translating
6201,transliterate,transliterates,transliterated,transliterated,transliterating
6202,transmit,transmits,transmitted,transmitted,transmitting
6203,transmogrify,transmogrifies,transmogrified,transmogrified,transmogrifying
6204,transmute,transmutes,transmuted,transmuted,transmuting
6205,transpire,transpires,transpired,transpired,transpiring
6206,transplant,transplants,transplanted,transplanted,transplanting
6207,transport,transports,transported,transported,transporting
6208,transpose,transposes,transposed,transposed,transposing
6209,trap,traps,trapped,trapped,trapping
6210,trash,trashes,trashed,trashed,trashing
6211,traumatise,traumatises,traumatised,traumatised,traumatising
6212,traumatize,traumatizes,traumatized,traumatized,traumatizing
6213,travel,travels,travelled,travelled,travelling
6214,traverse,traverses,traversed,traversed,traversing
6215,trawl,trawls,trawled,trawled,trawling
6216,tread,treads,trod,trodden,treading
6217,treasure,treasures,treasured,treasured,treasuring
6218,treat,treats,treated,treated,treating
6219,treble,trebles,trebled,trebled,trebling
6220,trek,treks,trekked,trekked,trekking
6221,tremble,trembles,trembled,trembled,trembling
6222,trepan,trepans,trepanned,trepanned,trepanning
6223,trespass,trespasses,trespassed,trespassed,trespassing
6224,trial,trials,trialled,trialled,trialling
6225,trick,tricks,tricked,tricked,tricking
6226,trick or treat,trick or treats,trick or treated,trick or treated,trick or treating
6227,trickle,trickles,trickled,trickled,trickling
6228,trifle,trifles,trifled,trifled,trifling
6229,trigger,triggers,triggered,triggered,triggering
6230,trill,trills,trilled,trilled,trilling
6231,trim,trims,trimmed,trimmed,trimming
6232,trip,trips,tripped,tripped,tripping
6233,triple,triples,tripled,tripled,tripling
6234,triumph,triumphs,triumphed,triumphed,triumphing
6235,trivialise,trivialises,trivialised,trivialised,trivialising
6236,trivialize,trivializes,trivialized,trivialized,trivializing
6237,troll,trolls,trolled,trolled,trolling
6238,tromp,tromps,tromped,tromped,tromping
6239,troop,troops,trooped,trooped,trooping
6240,trot,trots,trotted,trotted,trotting
6241,trouble,troubles,troubled,troubled,troubling
6242,troubleshoot,troubleshoots,troubleshot,troubleshot,troubleshooting
6243,trounce,trounces,trounced,trounced,trouncing
6244,trouser,trousers,trousered,trousered,trousering
6245,truant,truants,truanted,truanted,truanting
6246,truck,trucks,trucked,trucked,trucking
6247,trudge,trudges,trudged,trudged,trudging
6248,trump,trumps,trumped,trumped,trumping
6249,trumpet,trumpets,trumpeted,trumpeted,trumpeting
6250,truncate,truncates,truncated,truncated,truncating
6251,trundle,trundles,trundled,trundled,trundling
6252,truss,trusses,trussed,trussed,trussing
6253,trust,trusts,trusted,trusted,trusting
6254,try,tries,tried,tried,trying
6255,tube,tubes,tubed,tubed,tubing
6256,tuck,tucks,tucked,tucked,tucking
6257,tucker,tuckers,tuckered,tuckered,tuckering
6258,tug,tugs,tugged,tugged,tugging
6259,tumble,tumbles,tumbled,tumbled,tumbling
6260,tune,tunes,tuned,tuned,tuning
6261,tunnel,tunnels,tunnelled,tunnelled,tunnelling
6262,turbocharge,turbocharges,turbocharged,turbocharged,turbocharging
6263,turf,turfs,turfed,turfed,turfing
6264,turn,turns,turned,turned,turning
6265,tussle,tussles,tussled,tussled,tussling
6266,tut,tuts,tutted,tutted,tutting
6267,tutor,tutors,tutored,tutored,tutoring
6268,twang,twangs,twanged,twanged,twanging
6269,tweak,tweaks,tweaked,tweaked,tweaking
6270,tweet,tweets,tweeted,tweeted,tweeting
6271,twerk,twerks,twerked,twerked,twerking
6272,twiddle,twiddles,twiddled,twiddled,twiddling
6273,twig,twigs,twigged,twigged,twigging
6274,twin,twins,twinned,twinned,twinning
6275,twine,twines,twined,twined,twining
6276,twinkle,twinkles,twinkled,twinkled,twinkling
6277,twirl,twirls,twirled,twirled,twirling
6278,twist,twists,twisted,twisted,twisting
6279,twitch,twitches,twitched,twitched,twitching
6280,twitter,twitters,twittered,twittered,twittering
6281,two-time,two-times,two-timed,two-timed,two-timing
6282,twotime,twotimes,twotimed,twotimed,twotiming
6283,type,types,typed,typed,typing
6284,typecast,typecasts,typecast,typecast,typecasting
6285,typeset,typesets,typeset,typeset,typesetting
6286,typify,typifies,typified,typified,typifying
6287,tyrannise,tyrannises,tyrannised,tyrannised,tyrannising
6288,tyrannize,tyrannizes,tyrannized,tyrannized,tyrannizing
6289,ulcerate,ulcerates,ulcerated,ulcerated,ulcerating
6290,ululate,ululates,ululated,ululated,ululating
6291,umpire,umpires,umpired,umpired,umpiring
6292,unbalance,unbalances,unbalanced,unbalanced,unbalancing
6293,unban,unbans,unbanned,unbanned,unbanning
6294,unbend,unbends,unbent,unbent,unbending
6295,unblock,unblocks,unblocked,unblocked,unblocking
6296,unbuckle,unbuckles,unbuckled,unbuckled,unbuckling
6297,unburden,unburdens,unburdened,unburdened,unburdening
6298,unbutton,unbuttons,unbuttoned,unbuttoned,unbuttoning
6299,uncheck,unchecks,unchecked,unchecked,unchecking
6300,uncoil,uncoils,uncoiled,uncoiled,uncoiling
6301,uncork,uncorks,uncorked,uncorked,uncorking
6302,uncouple,uncouples,uncoupled,uncoupled,uncoupling
6303,uncover,uncovers,uncovered,uncovered,uncovering
6304,uncurl,uncurls,uncurled,uncurled,uncurling
6305,undelete,undeletes,undeleted,undeleted,undeleting
6306,underachieve,underachieves,underachieved,underachieved,underachieving
6307,underbid,underbids,underbid,underbid,underbidding
6308,undercharge,undercharges,undercharged,undercharged,undercharging
6309,undercook,undercooks,undercooked,undercooked,undercooking
6310,undercut,undercuts,undercut,undercut,undercutting
6311,underestimate,underestimates,underestimated,underestimated,underestimating
6312,underexpose,underexposes,underexposed,underexposed,underexposing
6313,undergo,undergoes,underwent,undergone,undergoing
6314,underlie,underlies,underlay,underlain,underlying
6315,misapprehend,misapprehends,misapprehended,misapprehended,misapprehending
6316,underline,underlines,underlined,underlined,underlining
6317,undermine,undermines,undermined,undermined,undermining
6318,underpay,underpays,underpaid,underpaid,underpaying
6319,underperform,underperforms,underperformed,underperformed,underperforming
6320,underpin,underpins,underpinned,underpinned,underpinning
6321,underplay,underplays,underplayed,underplayed,underplaying
6322,underrate,underrates,underrated,underrated,underrating
6323,underscore,underscores,underscored,underscored,underscoring
6324,undersell,undersells,undersold,undersold,underselling
6325,undershoot,undershoots,undershot,undershot,undershooting
6326,underspend,underspends,underspent,underspent,underspending
6327,understand,understands,understood,understood,understanding
6328,understate,understates,understated,understated,understating
6329,understudy,understudies,understudied,understudied,understudying
6330,undertake,undertakes,undertook,undertaken,undertaking
6331,undervalue,undervalues,undervalued,undervalued,undervaluing
6332,underwhelm,underwhelms,underwhelmed,underwhelmed,underwhelming
6333,underwrite,underwrites,underwrote,underwritten,underwriting
6334,undo,undoes,undid,undone,undoing
6335,undock,undocks,undocked,undocked,undocking
6336,undress,undresses,undressed,undressed,undressing
6337,undulate,undulates,undulated,undulated,undulating
6338,unearth,unearths,unearthed,unearthed,unearthing
6339,unfasten,unfastens,unfastened,unfastened,unfastening
6340,unfold,unfolds,unfolded,unfolded,unfolding
6341,unfollow,unfollows,unfollowed,unfollowed,unfollowing
6342,unfreeze,unfreezes,unfroze,unfrozen,unfreezing
6343,unfriend,unfriends,unfriended,unfriended,unfriending
6344,unfrock,unfrocks,unfrocked,unfrocked,unfrocking
6345,unfurl,unfurls,unfurled,unfurled,unfurling
6346,unhand,unhands,unhanded,unhanded,unhanding
6347,unhinge,unhinges,unhinged,unhinged,unhingeing
6348,unhitch,unhitches,unhitched,unhitched,unhitching
6349,unhook,unhooks,unhooked,unhooked,unhooking
6350,unify,unifies,unified,unified,unifying
6351,uninstall,uninstalls,uninstalled,uninstalled,uninstalling
6352,unionise,unionises,unionised,unionised,unionising
6353,unionize,unionizes,unionized,unionized,unionizing
6354,unite,unites,united,united,uniting
6355,unknot,unknots,unknotted,unknotted,unknotting
6356,unlace,unlaces,unlaced,unlaced,unlacing
6357,unlearn,unlearns,unlearned,unlearned,unlearning
6358,unleash,unleashes,unleashed,unleashed,unleashing
6359,unlike,unlikes,unliked,unliked,unliking
6360,unload,unloads,unloaded,unloaded,unloading
6361,unlock,unlocks,unlocked,unlocked,unlocking
6362,unloose,unlooses,unloosed,unloosed,unloosing
6363,unmask,unmasks,unmasked,unmasked,unmasking
6364,unnerve,unnerves,unnerved,unnerved,unnerving
6365,unpack,unpacks,unpacked,unpacked,unpacking
6366,unpeg,unpegs,unpegged,unpegged,unpegging
6367,unpick,unpicks,unpicked,unpicked,unpicking
6368,unpin,unpins,unpinned,unpinned,unpinning
6369,unplug,unplugs,unplugged,unplugged,unplugging
6370,unravel,unravels,unravelled,unravelled,unravelling
6371,unroll,unrolls,unrolled,unrolled,unrolling
6372,unsaddle,unsaddles,unsaddled,unsaddled,unsaddling
6373,unscramble,unscrambles,unscrambled,unscrambled,unscrambling
6374,unscrew,unscrews,unscrewed,unscrewed,unscrewing
6375,unseat,unseats,unseated,unseated,unseating
6376,unsettle,unsettles,unsettled,unsettled,unsettling
6377,unsubscribe,unsubscribes,unsubscribed,unsubscribed,unsubscribing
6378,untangle,untangles,untangled,untangled,untangling
6379,untie,unties,untied,untied,untying
6380,unveil,unveils,unveiled,unveiled,unveiling
6381,unwind,unwinds,unwound,unwound,unwinding
6382,unwrap,unwraps,unwrapped,unwrapped,unwrapping
6383,unzip,unzips,unzipped,unzipped,unzipping
6384,up,ups,upped,upped,upping
6385,up-anchor,up-anchors,up-anchored,up-anchored,up-anchoring
6386,upanchor,upanchors,upanchored,upanchored,upanchoring
6387,upbraid,upbraids,upbraided,upbraided,upbraiding
6388,upchange,upchanges,upchanged,upchanged,upchanging
6389,upchuck,upchucks,upchucked,upchucked,upchucking
6390,upcycle,upcycles,upcycled,upcycled,upcycling
6391,update,updates,updated,updated,updating
6392,upend,upends,upended,upended,upending
6393,upgrade,upgrades,upgraded,upgraded,upgrading
6394,uphold,upholds,upheld,upheld,upholding
6395,upholster,upholsters,upholstered,upholstered,upholstering
6396,uplift,uplifts,uplifted,uplifted,uplifting
6397,upload,uploads,uploaded,uploaded,uploading
6398,uproot,uproots,uprooted,uprooted,uprooting
6399,upscale,upscales,upscaled,upscaled,upscaling
6400,upsell,upsells,upsold,upsold,upselling
6401,upset,upsets,upset,upset,upsetting
6402,upshift,upshifts,upshifted,upshifted,upshifting
6403,upsise,upsises,upsised,upsised,upsising
6404,upsize,upsizes,upsized,upsized,upsizing
6405,upskill,upskills,upskilled,upskilled,upskilling
6406,upstage,upstages,upstaged,upstaged,upstaging
6407,urge,urges,urged,urged,urging
6408,urinate,urinates,urinated,urinated,urinating
6409,use,uses,used,used,using
6410,usher,ushers,ushered,ushered,ushering
6411,usurp,usurps,usurped,usurped,usurping
6412,utilise,utilises,utilised,utilised,utilising
6413,utilize,utilizes,utilized,utilized,utilizing
6414,utter,utters,uttered,uttered,uttering
6415,vacate,vacates,vacated,vacated,vacating
